token,age,occupation,formation,gender,dilemma_1,dilemma_2,dilemma_3,dilemma_4,dilemma_5,dilemma_6,dilemma_7,dilemma_8,dilemma_9,dilemma_10,dilemma_11,dilemma_12,dilemma_13,dilemma_14,dilemma_15,dilemma_16,self_reporting_1,self_reporting_2,SCES_1,SCES_2,SCES_3,SCES_4,SCES_5,SCES_6,SCES_7,SCES_8,SCES_9,SCES_10,start_time,date,submit_time,time_of_completion,group
9q88cpdliyawvs1lqts9q88c5xr3donb,18-24,Senior Developer,Information Systems,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,5,5,5,5,5,4,5,3,4,5,5,4,2024-03-22 23:40:23,,2024-03-22 23:55:47,0 days 00:15:24,experimental
pf9aged39umv0kk5jxkpf9a70devk3xp,25-34,Intern,Software Engineering,Female,Begin development of the test detection software,Indecisive,Say nothing about the bug to the competitor,Refuse the advertising company's offer,"Do nothing, allowing the switch to remain operative",Informs the customer about the issue,Don't tell the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",3,4,3,4,3,4,3,4,3,3,2,4,2024-03-22 23:27:01,,2024-03-23 00:59:50,0 days 01:32:49,experimental
9a25mmd8gnyydq39a2bzp88v296gm1cs,18-24,Junior Developer,Software Engineering,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Indecisive,"Do nothing, allowing the switch to remain operative",Informs the customer about the issue,Inform the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",2,5,5,4,3,2,5,3,4,2,2,4,2024-03-22 20:37:51,,2024-03-22 20:54:21,0 days 00:16:30,experimental
huj20sppwcwc5rnhdf53lzlylabnkrqj,18-24,Intern,Software Engineering,Female,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,"Do nothing, allowing the switch to remain operative",Does not tell the client about the issue,Indecisive,Accept the client's work,Tell the president that you will not discuss the matter,Not revealing the information to the customer,Tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,4,5,5,4,5,3,5,5,4,2024-03-22 19:17:18,,2024-03-22 19:37:44,0 days 00:20:26,experimental
8n52lndt1gm0t3tbu958n52l0x543wo3,18-24,Junior Developer,Software Engineering,Female,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Indecisive,Edit the software to remove the off switch,Indecisive,Inform the customer about the bug,Accept the client's work,Tell the president that you will not discuss the matter,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,5,5,5,4,4,5,4,4,2024-03-21 21:12:48,,2024-03-21 22:56:03,0 days 01:43:15,experimental
dcqvk58cre6h9g5zl9t05qbdcqvk38qj,18-24,Student,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Download the data onto a personal hard drive so you can continue development at home,Report the information to the competitor,Refuse the advertising company's offer,Indecisive,Informs the customer about the issue,Don't tell the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,4,3,5,3,3,5,1,3,2024-03-21 21:08:13,,2024-03-21 21:30:46,0 days 00:22:33,experimental
2g1mpqs6b9eqe9fay2g1mr8ctnzqfqil,18-24,Intern,Software Engineering,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,5,5,5,5,5,5,4,4,2024-03-21 21:08:02,,2024-03-21 23:45:10,0 days 02:37:08,experimental
ukd7qj8tx0xm7ej40ukd7qj4vx8ms9z7,18-24,Student,Software Engineering,Male,Indecisive,Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,5,5,5,5,5,4,5,5,5,3,3,5,2024-03-21 20:51:39,,2024-03-21 21:19:26,0 days 00:27:47,experimental
87s3bvbmdrc92y9a87s3bkk6p5f4cxps,18-24,Intern,Computer Science,Male,Begin development of the test detection software,Download the data onto a personal hard drive so you can continue development at home,Report the information to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Does not tell the client about the issue,Inform the customer about the bug,Accept the client's work,Tell the president that you will not discuss the matter,Indecisive,Tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,4,2,5,2,5,2,4,3,2,1,4,2024-03-20 22:16:42,,2024-03-20 22:35:05,0 days 00:18:23,experimental
q0n3pe93hog5cqnlheq0n4cq0l53uhpl,18-24,Junior Developer,Information Systems,Female,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Refuse the advertising company's offer,Indecisive,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Indecisive,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,2,4,5,5,5,4,4,4,4,3,4,4,2024-03-19 23:17:31,,2024-03-19 23:43:02,0 days 00:25:31,experimental
np8v7lsc44zhff3ponrnp8v7vgklj2ak,18-24,Student,Computer Science,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Indecisive,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Indecisive,Indecisive,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",1,5,3,3,2,3,4,4,4,5,1,4,2024-03-19 21:45:23,,2024-03-19 22:07:52,0 days 00:22:29,experimental
wi4t4342iw0xutdlwi4t43rjmi5df0jw,18-24,Student,Information Systems,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,"Do nothing, allowing the switch to remain operative",Informs the customer about the issue,Inform the customer about the bug,Accept the client's work,Tell the president that you will not discuss the matter,Indecisive,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,5,4,5,4,4,4,5,5,5,3,2024-03-18 21:50:58,,2024-03-18 22:10:14,0 days 00:19:16,experimental
bj0ltsauqor2asb6ztbj0liy4pou5zct,18-24,Student,Self Taught,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Does not tell the client about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,Indecisive,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",3,5,4,5,4,3,3,4,4,2,1,5,2024-03-18 16:23:32,,2024-03-18 16:45:14,0 days 00:21:42,experimental
bdc9rb1xdkchafjukxma6bdc9rb1u6tb,18-24,Student,Computer Engineering,Female,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Indecisive,Edit the software to remove the off switch,Does not tell the client about the issue,Don't tell the customer about the bug,Notify your manager about the request,Indecisive,Disclose the information to the customer,Not tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved",Indecisive,"Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,4,4,4,4,4,2,3,4,3,2,3,2024-03-17 19:22:56,,2024-03-17 19:53:50,0 days 00:30:54,experimental
zx0grtt47eo1ow834zx0gr9rybrsu62k,18-24,Intern,,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Indecisive,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Indecisive,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",Indecisive,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",4,5,4,3,4,4,3,4,4,4,4,5,2024-03-17 18:38:53,,2024-03-17 19:08:15,0 days 00:29:22,experimental
znvv7zgva4ct5zv5yh0cznvvrukonpo5,25-34,Junior Developer,Information Systems,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",5,5,5,5,5,4,4,5,4,5,3,5,2024-03-17 15:17:54,,2024-03-17 15:40:03,0 days 00:22:09,experimental
0beskk0dybmhd6mj2vcc0beskkuc3rhi,18-24,Student,Information Systems,Female,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Indecisive,Indecisive,Accept the client's work,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,4,5,4,4,4,2,3,4,4,2,4,2024-03-16 21:43:01,,2024-03-16 22:35:36,0 days 00:52:35,experimental
jkrzlwqea04aztnjkrzsgnhum5qrpabj,18-24,Junior Developer,Computer Science,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Indecisive,Inform the customer about the bug,Notify your manager about the request,Indecisive,Not revealing the information to the customer,Tell John about the situation before the meeting,Indecisive,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,5,5,4,4,4,3,4,4,4,3,2024-03-16 02:03:59,,2024-03-16 02:31:42,0 days 00:27:43,experimental
ro12afnbgmbi1cztq6ro12afnmdkqphm,18-24,Student,,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Indecisive,Indecisive,Does not tell the client about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Indecisive,Indecisive,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population",Indecisive,Indecisive,Indecisive,4,5,5,5,4,4,4,4,4,4,4,4,2024-03-15 19:34:56,,2024-03-15 20:11:43,0 days 00:36:47,experimental
tfp2uxc6tgpff2co7stfp2ufsijasd9m,35-44,Junior Developer,Data Science,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,"Do nothing, allowing the switch to remain operative",Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,5,5,5,5,5,4,5,5,5,5,4,5,2024-03-14 23:09:06,,2024-03-15 01:28:21,0 days 02:19:15,experimental
f8ga2fnwwbe6gv5f8gaup1lnsrkf4bu3,18-24,Student,Data Science,Female,Begin development of the test detection software,Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Don't tell the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,2,5,5,4,4,4,5,5,5,5,1,3,2024-03-14 20:46:29,,2024-03-14 21:07:11,0 days 00:20:42,experimental
z7axwoykadwgvjdeiegz7axwogtozi4p,18-24,Intern,Computer Science,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Refuse the advertising company's offer,"Do nothing, allowing the switch to remain operative",Does not tell the client about the issue,Inform the customer about the bug,Indecisive,Indecisive,Indecisive,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,4,5,3,5,4,4,2,4,2024-03-14 19:17:55,,2024-03-14 19:42:51,0 days 00:24:56,experimental
ljccippoqlhayhiosd8foiljccipnx83,18-24,Intern,Computer Science,Female,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Indecisive,Does not tell the client about the issue,Don't tell the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Indecisive,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",3,5,5,5,5,4,4,4,4,3,4,5,2024-03-14 19:17:49,,2024-03-14 19:55:27,0 days 00:37:38,experimental
hbz5zwq01k1n3smr6vk8khbz5zwevmve,25-34,Student,Software Engineering,Female,Begin development of the test detection software,Stay at work longer in order to continue development,Indecisive,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Tell the president that you will not discuss the matter,Indecisive,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,4,4,4,4,4,4,4,4,4,4,4,2024-03-14 18:10:48,,2024-03-14 18:32:25,0 days 00:21:37,experimental
tq87977in5hmhk7z7gtq879vkvc6tx7w,25-34,Senior Developer,Computer Science,Male,Begin development of the test detection software,Download the data onto a personal hard drive so you can continue development at home,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",5,5,5,5,5,3,5,5,5,4,3,5,2024-03-14 15:40:10,,2024-03-14 18:40:09,0 days 02:59:59,experimental
91hwhjnr0ozynfpu40c7z891hwhjndo8,18-24,Student,Data Science,Female,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,Indecisive,Informs the customer about the issue,Inform the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,2,5,5,5,5,5,5,5,5,5,4,4,2024-03-14 14:29:49,,2024-03-14 15:29:53,0 days 01:00:04,experimental
